GEO,CRTFCTN_DT,ELGBLTY_SW,FAC_NAME,PRVDR_NUM,SKLTN_REC_SW,STATE_RGN_CD,TRMNTN_EXPRTN_DT,ZIP_CD,CBSA_CD,LONGITUDE,LATITUDE,GRADE_FAC_NAME,GRADEN,GRADEN.01,GEOGRAPHY.1,TOTAL_CIVILIAN_NONINSTITUTIONALIZED_POPULATION,AVG-MEDIAN_AGE_IN_YEARS,TOTAL_HOUSEHOLDS_ESTIMATE,PROP_FAMILY_HOUSEHOLDS,PROP_NONFAMILY_HOUSEHOLDS,AVERAGE_HOUSEHOLD_SIZE,AVERAGE_FAMILY_SIZE,GPS_LIVING_WITH_GCS_UNDER_18_YEARS,PROP__GPS_CARING_FOR_GC_OVER_18,NUMBER_OF_VETERANS,VETERANS_AS_PROP_OF_POPULATION,UNEMPLOYED_VETERANS_PROP_OF_LABOUR_FORCE,HISPANI_OR_LATINO,HISPANIC/LATINO_PROP,WHITE,WHITE_PROP,BLACK_ESTIMATE,BLACK_PROP,NATIVE_AMERICAN/ALASKAN,NATIVE_AMERICAN/ALASKAN_PROP,ASIAN,ASIAN_PROP,NATIVE_HAWAIIAN/PACIFIC_ISLANDER,NATIVE_HAWAIIAN/PACIFIC_ISLANDER_PROP,"OTHER_RACE_ONLY,_NOT_HISPANIC/LATINO","OTHER_RACE_ONLY,_NOT_HISPANIC/LATINO_PROP","TWO_OR_MORE_RACES_ALONE,_NOT_HISPANIC_OR_LATINO_ESTIMATE","TWO_OR_MORE_RACES_ALONE,_NOT_HISPANIC_OR_LATINO_PROP",PROP_NATIVE_BORN,PROP_FOREIGN_BORN,PROP_OF_FOREIGN_BORN_WHO_ARE_NATURALIZED_U.S._CITIZEN,POP_5_YEARS_+,POP_5_YEARS_+_FOREIGN_LANGUAGE_AT_HOME,POP_5_YEARS_+_W/_POOR_ENGLISH,MEDIAN_HOUSEHOLD_INCOME_(DOLLARS),MEAN_HOUSEHOLD_INCOME_(DOLLARS),MEDIAN_FAMILY_INCOME_(DOLLARS),MEAN_FAMILY_INCOME_(DOLLARS),PER_CAPITA_INCOME_(DOLLARS),ALL_FAMILIES%,MARRIED_COUPLE_FAMILIES%,FEMALE_HOUSEHOLDER_NO_HUSBAND%,ALL_PEOPLE%,UNDER_18%,PERCENT_(LABOR_FORCE_PARTICIPATION_RATE),LABOUR_FORCE_%,EMPLOYED_16+%,EMPLOYED_%_16+,UNEMPLOYMENT%,MILITARY%,NOT_IN_LABOURFORCE%,"POPULATION_25_YEARS_
AND_OVER%",PERCENT_LESS_THAN_9TH_GRADE%,"PERCENT_9TH_TO_12TH_GRADE,_NO_DIPLOMA",PERCENT_HIGH_SCHOOL_GRADUATE_(INCLUDES_EQUIVALENCY),"PERCENT_SOME_COLLEGE,_NO_DEGREE",PERCENT_ASSOCIATE'S_DEGREE,PERCENT_BACHELOR'S_DEGREE,PERCENT_GRADUATE_OR_PROFESSIONAL_DEGREE,PERCENT_HIGH_SCHOOL_GRADUATE_OR_HIGHER,POPULATION_25_YEARS_AND_OVER_WITH_EARNINGS,LESS_THAN_HIGH_SCHOOL_GRADUATE_EARNINGS_(DOLLARS),HIGH_SCHOOL_GRADUATE__EARNINGS_(DOLLARS),SOME_COLLEGE_OR_ASSOCIATE'S_DEGREE_EARNINGS_(DOLLARS),BACHELOR'S_DEGREE_EARNINGS_(DOLLARS),GRADUATE_OR_PROFESSIONAL_DEGREE_EARNINGS_(DOLLARS),MEDIAN_VALUE_(DOLLARS)
ALAMEDA,20041209,Y,ALAMEDA HOSPITAL LABORATORY,05D0597301,N,M2,20190102,94501,36084,-122.2534154,37.7628157,ALAMEDA HOSPITAL,60,0.6,ALAMEDA COUNTY,1654543,37.6,573589,66.1,33.9,2.84,3.43,47183,22.6,49534,3.8,6.2,373672,22.5,520664,31.3,169718,10.2,5495,0.3,499513,30,12454,0.7,6162,0.4,75512,4.5,66.6,33.4,51.5,1565680,46.3,18,67169,96104,76975,106970,33128,11.1,6.6,26,15.1,20.8,63.5,63,58.2,4.8,7.7,0.4,36.5,25950818,9.7,7.8,20.6,21.5,7.8,20.4,12.2,82.5,39663,21252,30036,37169,59709,82943,509400
ALAMEDA,19921231,N,EAST BAY PULMONARY MEDICAL GROUP,05D0688257,Y,LAB,20200330,94501,36084,-122.2534154,37.7628157,ALAMEDA HOSPITAL,60,0.6,ALAMEDA COUNTY,1654543,37.6,573589,66.1,33.9,2.84,3.43,47183,22.6,49534,3.8,6.2,373672,22.5,520664,31.3,169718,10.2,5495,0.3,499513,30,12454,0.7,6162,0.4,75512,4.5,66.6,33.4,51.5,1565680,46.3,18,85743,114330,103600,131775,41363,7.4,4.2,19.8,11.3,13,66.7,66.6,62.5,4,6,0.1,33.3,1139149,6.7,5.8,17.9,18.4,6.5,25.7,19,87.5,50285,23835,33324,41811,64971,92398,781000
ALAMEDA,19980701,N,GASTROENTEROLOGY ASSOCIATES OF THE,05D0948120,Y,LAB,20060630,94501,36084,-122.2534154,37.7628157,ALAMEDA HOSPITAL,60,0.6,ALAMEDA COUNTY,1654543,37.6,573589,66.1,33.9,2.84,3.43,47183,22.6,49534,3.8,6.2,373672,22.5,520664,31.3,169718,10.2,5495,0.3,499513,30,12454,0.7,6162,0.4,75512,4.5,66.6,33.4,51.5,1565680,46.3,18,89045,117745,111025,140325,47229,6.9,4.2,18.1,9.2,10.2,67.6,66.3,63,3.3,5,1.3,32.4,57826,4.7,5.6,12.6,19.9,6.5,31.3,19.4,89.7,54687,22428,32583,41503,68895,90800,891700
ALAMEDA,20041209,Y,ALAMEDA HOSPITAL LABORATORY,05D0597301,N,M2,20190102,94501,36084,-122.2534154,37.7628157,ALAMEDA HOSPITAL,60,0.6,ALAMEDA CITY,77864,38.9,30662,58.8,41.2,2.54,3.33,N,N,2161,3.5,7.1,10825,13.7,34597,43.7,6644,8.4,217,0.3,21431,27.1,153,0.2,386,0.5,4935,6.2,74.8,25.2,65.7,73345,35.1,14.5,87694,118759,99743,132076,45117,7.4,6.6,9,9.6,8.1,67.8,67.7,64.6,3.1,4.6,0.1,32.2,13234,2.1,2.4,6.5,11.6,5.4,32.6,39.3,95.4,56353,29089,40685,34304,58646,72663,993500
ALAMEDA,19921231,N,EAST BAY PULMONARY MEDICAL GROUP,05D0688257,Y,LAB,20200330,94501,36084,-122.2534154,37.7628157,ALAMEDA HOSPITAL,60,0.6,ALAMEDA CITY,77864,38.9,30662,58.8,41.2,2.54,3.33,N,N,2161,3.5,7.1,10825,13.7,34597,43.7,6644,8.4,217,0.3,21431,27.1,153,0.2,386,0.5,4935,6.2,74.8,25.2,65.7,73345,35.1,14.5,50966,63105,56086,68691,21254,17.5,13.9,26,19.3,25.7,65.6,65.6,59.4,6.2,9.4,0,34.4,15561,11.3,12.4,29.5,21.9,8.2,13.5,3.1,76.2,33559,24011,30498,40178,44701,84083,729000
ALAMEDA,19980701,N,GASTROENTEROLOGY ASSOCIATES OF THE,05D0948120,Y,LAB,20060630,94501,36084,-122.2534154,37.7628157,ALAMEDA HOSPITAL,60,0.6,ALAMEDA CITY,77864,38.9,30662,58.8,41.2,2.54,3.33,N,N,2161,3.5,7.1,10825,13.7,34597,43.7,6644,8.4,217,0.3,21431,27.1,153,0.2,386,0.5,4935,6.2,74.8,25.2,65.7,73345,35.1,14.5,75709,115629,128630,167062,45738,4.9,1.6,15.2,19.8,7.9,62.4,62.3,58.1,4.2,6.8,0.1,37.6,74865,2,1.8,6.8,12.4,4.7,33.7,38.6,96.2,48643,24420,33156,30885,45784,65988,927500
BERKELEY,19930119,N,ARTERIAL BLOOD GAS LAB,05D0603372,Y,M2,20080116,94705,36084,-122.257304,37.855928,SUTTER EAST BAY HOSPITALS DBA ALTA BATES SUMMIT MEDICAL CENTER ALTA BATES CAMPUS,40,0.4,BERKELEY CITY,121870,30,43770,49,51,2.48,2.92,N,N,2833,2.7,46.4,16215,13.3,63095,51.6,10623,8.7,110,0.1,23488,19.2,859,0.7,525,0.4,7419,6.1,79.3,20.7,38.9,117328,30.1,6.1,92233,115000,108638,130336,43037,4.7,2.7,11.4,6.5,7.6,65.7,65.7,62,3.7,5.6,0,34.3,45850,3.9,4.1,19.5,23.9,8,25.7,14.9,92,53770,24508,40954,47006,69051,94326,595500
BERKELEY,20061227,Y,ALTA ANATOMIC PATHOLOGY MED GRP INC,05D0718799,N,LAB,20070221,94705,36084,-122.257304,37.855928,SUTTER EAST BAY HOSPITALS DBA ALTA BATES SUMMIT MEDICAL CENTER ALTA BATES CAMPUS,40,0.4,BERKELEY CITY,121870,30,43770,49,51,2.48,2.92,N,N,2833,2.7,46.4,16215,13.3,63095,51.6,10623,8.7,110,0.1,23488,19.2,859,0.7,525,0.4,7419,6.1,79.3,20.7,38.9,117328,30.1,6.1,58631,70405,63736,74095,23141,17.3,11.1,37.9,22.8,32.9,64.9,64.9,58.6,6.3,9.7,0,35.1,10399,14.3,10.2,32,18.6,7.5,13,4.4,75.5,37997,25933,33270,46738,57045,66467,745600
BERKELEY,19930520,N,ALTA BATES MEDICAL CTR EMERGENCY DEPT,05D0869538,Y,LAB,19950425,94705,36084,-122.257304,37.855928,SUTTER EAST BAY HOSPITALS DBA ALTA BATES SUMMIT MEDICAL CENTER ALTA BATES CAMPUS,40,0.4,BERKELEY CITY,121870,30,43770,49,51,2.48,2.92,N,N,2833,2.7,46.4,16215,13.3,63095,51.6,10623,8.7,110,0.1,23488,19.2,859,0.7,525,0.4,7419,6.1,79.3,20.7,38.9,117328,30.1,6.1,138007,159057,150267,174926,54251,2.4,1.1,15.4,3.6,3.8,69.4,69.2,66.5,2.7,3.9,0.2,30.6,39375,2.6,3.6,11.3,14.4,6.6,36.1,25.4,93.8,79718,16881,41484,52922,84458,123759,686700
CASTRO VALLEY,19961029,N,EDEN EMERGENCY MEDICAL GROUP,05D0921463,Y,LAB,20141028,94546,36084,-122.0896915,37.6983405,EDEN MEDICAL CENTER,60,0.6,CASTRO VALLEY CDP,61304,40.4,21977,70.6,29.4,2.77,3.31,N,N,2878,5.8,0,12337,19.9,28123,45.3,5965,9.6,252,0.4,11831,19.1,198,0.3,211,0.3,3186,5.1,76.5,23.5,56.9,57098,32.3,14.1,88661,109251,107245,133020,62873,8.2,4.1,22.2,11.7,19.2,74.6,74.3,70.5,3.8,5.2,0.3,25.4,9592,2,2,8.4,12.8,5.4,39.7,29.7,96,69643,28897,40065,41583,79570,81899,997500
