_,ACPTBL_POC_SW,CMPLNC_STUS_CD,CROSS_REF_PROVIDER_NUMBER,CRTFCTN_DT,ELGBLTY_SW,FAC_NAME,ORGNL_PRTCPTN_DT,PRVDR_NUM,SKLTN_REC_SW,STATE_RGN_CD,PGM_TRMNTN_CD,TRMNTN_EXPRTN_DT,CRTFCTN_ACTN_TYPE_CD,GNRL_CNTL_TYPE_CD,ZIP_CD,FIPS_CNTY_CD,CBSA_CD,longitude,latitude,names,grade,addresses,ZIP1,ZIP2,Geography.1,Total_Civilian_Noninstitutionalized_Population,Avg-Median_age_in_years,Total_Households_Estimate,Prop_Family_households,Prop_Nonfamily_households,Average_household_size,Average_family_size,Gps_living_with_gcs_under_18_years,Prop__Gps_caring_for_gc_over_18,Number_of_Veterans,Veterans_as_Prop_of_population,Unemployed_veterans_Prop_of_labour_force,Hispani_or_Latino,Hispanic/Latino_Prop,White,White_Prop,Black_Estimate,Black_Prop,Native_American/Alaskan,Native_American/Alaskan_Prop,Asian,Asian_Prop,Native_Hawaiian/Pacific_Islander,Native_Hawaiian/Pacific_Islander_Prop,"Other_Race_Only,_Not_Hispanic/Latino","Other_Race_Only,_Not_Hispanic/Latino_Prop","Two_or_more_races_alone,_Not_Hispanic_or_Latino_Estimate","Two_or_more_races_alone,_Not_Hispanic_or_Latino_Prop",Prop_Native_Born,Prop_Foreign_born,Prop_of_Foreign_Born_who_are_Naturalized_U.S._citizen,Pop_5_years_+,Pop_5_years_+_foreign_language_at_home,Pop_5_years_+_w/_poor_English,Median_household_income_(dollars),Mean_household_income_(dollars),Median_family_income_(dollars),Mean_family_income_(dollars),Per_capita_income_(dollars),All_families%,Married_couple_families%,female_householder_no_husband%,All_people%,Under_18%,Percent_(Labor_Force_Participation_Rate),Labour_Force_%,Employed_16+%,Employed_%_16+,Unemployment%,Military%,Not_in_labourforce%,"Population_25_years_
and_over%",Percent_Less_than_9th_grade%,"Percent_9th_to_12th_grade,_no_diploma",Percent_High_school_graduate_(includes_equivalency),"Percent_Some_college,_no_degree",Percent_Associate's_degree,Percent_Bachelor's_degree,Percent_Graduate_or_professional_degree,Percent_high_school_graduate_or_higher,Population_25_years_and_over_with_earnings,Less_than_high_school_graduate_earnings_(dollars),High_school_graduate__earnings_(dollars),Some_college_or_associate's_degree_earnings_(dollars),Bachelor's_degree_earnings_(dollars),Graduate_or_professional_degree_earnings_(dollars),Median_Value_(dollars)
ALAMEDA,N,A,0,20041209,Y,"ALAMEDA HOSPITAL LABORATORY",19920901,05D0597301,N,M2,0,20190102,5,9,94501,1,36084,-122.2534154,37.7628157,"ALAMEDA HOSPITAL",60,"2070 CLINTON AVENUE
                ALAMEDA, CA 94501-4397",94501-4397,945014397,"ALAMEDA COUNTY",1654543,37.6,573589,66.1,33.9,2.84,3.43,47183,22.6,49534,3.8,6.2,373672,22.5,520664,31.3,169718,10.2,5495,0.3,499513,30,12454,0.7,6162,0.4,75512,4.5,66.6,33.4,51.5,1565680,46.3,18,67169,96104,76975,106970,33128,11.1,6.6,26,15.1,20.8,63.5,63,58.2,4.8,7.7,0.4,36.5,25950818,9.7,7.8,20.6,21.5,7.8,20.4,12.2,82.5,39663,21252,30036,37169,59709,82943,509400
ALAMEDA,N,0,0,19921231,N,"EAST BAY PULMONARY MEDICAL GROUP",19921231,05D0688257,Y,LAB,0,20200330,0,4,94501,1,36084,-122.2534154,37.7628157,"ALAMEDA HOSPITAL",60,"2070 CLINTON AVENUE
                ALAMEDA, CA 94501-4397",94501-4397,945014397,"ALAMEDA COUNTY",1654543,37.6,573589,66.1,33.9,2.84,3.43,47183,22.6,49534,3.8,6.2,373672,22.5,520664,31.3,169718,10.2,5495,0.3,499513,30,12454,0.7,6162,0.4,75512,4.5,66.6,33.4,51.5,1565680,46.3,18,85743,114330,103600,131775,41363,7.4,4.2,19.8,11.3,13,66.7,66.6,62.5,4,6,0.1,33.3,1139149,6.7,5.8,17.9,18.4,6.5,25.7,19,87.5,50285,23835,33324,41811,64971,92398,781000
ALAMEDA,N,0,0,19980701,N,"GASTROENTEROLOGY ASSOCIATES OF THE",19980701,05D0948120,Y,LAB,8,20060630,0,4,94501,1,36084,-122.2534154,37.7628157,"ALAMEDA HOSPITAL",60,"2070 CLINTON AVENUE
                ALAMEDA, CA 94501-4397",94501-4397,945014397,"ALAMEDA COUNTY",1654543,37.6,573589,66.1,33.9,2.84,3.43,47183,22.6,49534,3.8,6.2,373672,22.5,520664,31.3,169718,10.2,5495,0.3,499513,30,12454,0.7,6162,0.4,75512,4.5,66.6,33.4,51.5,1565680,46.3,18,89045,117745,111025,140325,47229,6.9,4.2,18.1,9.2,10.2,67.6,66.3,63,3.3,5,1.3,32.4,57826,4.7,5.6,12.6,19.9,6.5,31.3,19.4,89.7,54687,22428,32583,41503,68895,90800,891700
ALAMEDA,N,A,0,20041209,Y,"ALAMEDA HOSPITAL LABORATORY",19920901,05D0597301,N,M2,0,20190102,5,9,94501,1,36084,-122.2534154,37.7628157,"ALAMEDA HOSPITAL",60,"2070 CLINTON AVENUE
                ALAMEDA, CA 94501-4397",94501-4397,945014397,"ALAMEDA CITY",77864,38.9,30662,58.8,41.2,2.54,3.33,N,N,2161,3.5,7.1,10825,13.7,34597,43.7,6644,8.4,217,0.3,21431,27.1,153,0.2,386,0.5,4935,6.2,74.8,25.2,65.7,73345,35.1,14.5,87694,118759,99743,132076,45117,7.4,6.6,9,9.6,8.1,67.8,67.7,64.6,3.1,4.6,0.1,32.2,13234,2.1,2.4,6.5,11.6,5.4,32.6,39.3,95.4,56353,29089,40685,34304,58646,72663,993500
ALAMEDA,N,0,0,19921231,N,"EAST BAY PULMONARY MEDICAL GROUP",19921231,05D0688257,Y,LAB,0,20200330,0,4,94501,1,36084,-122.2534154,37.7628157,"ALAMEDA HOSPITAL",60,"2070 CLINTON AVENUE
                ALAMEDA, CA 94501-4397",94501-4397,945014397,"ALAMEDA CITY",77864,38.9,30662,58.8,41.2,2.54,3.33,N,N,2161,3.5,7.1,10825,13.7,34597,43.7,6644,8.4,217,0.3,21431,27.1,153,0.2,386,0.5,4935,6.2,74.8,25.2,65.7,73345,35.1,14.5,50966,63105,56086,68691,21254,17.5,13.9,26,19.3,25.7,65.6,65.6,59.4,6.2,9.4,0,34.4,15561,11.3,12.4,29.5,21.9,8.2,13.5,3.1,76.2,33559,24011,30498,40178,44701,84083,729000
ALAMEDA,N,0,0,19980701,N,"GASTROENTEROLOGY ASSOCIATES OF THE",19980701,05D0948120,Y,LAB,8,20060630,0,4,94501,1,36084,-122.2534154,37.7628157,"ALAMEDA HOSPITAL",60,"2070 CLINTON AVENUE
                ALAMEDA, CA 94501-4397",94501-4397,945014397,"ALAMEDA CITY",77864,38.9,30662,58.8,41.2,2.54,3.33,N,N,2161,3.5,7.1,10825,13.7,34597,43.7,6644,8.4,217,0.3,21431,27.1,153,0.2,386,0.5,4935,6.2,74.8,25.2,65.7,73345,35.1,14.5,75709,115629,128630,167062,45738,4.9,1.6,15.2,19.8,7.9,62.4,62.3,58.1,4.2,6.8,0.1,37.6,74865,2,1.8,6.8,12.4,4.7,33.7,38.6,96.2,48643,24420,33156,30885,45784,65988,927500
BERKELEY,N,0,0,19930119,N,"ARTERIAL BLOOD GAS LAB",19930119,05D0603372,Y,M2,1,20080116,0,3,94705,1,36084,-122.257304,37.855928,"SUTTER EAST BAY HOSPITALS DBA ALTA BATES SUMMIT MEDICAL CENTER ALTA BATES CAMPUS",40,"2450 ASHBY AVENUE
                BERKELEY, CA 94705",", CA 94705",94705,"BERKELEY CITY",121870,30,43770,49,51,2.48,2.92,N,N,2833,2.7,46.4,16215,13.3,63095,51.6,10623,8.7,110,0.1,23488,19.2,859,0.7,525,0.4,7419,6.1,79.3,20.7,38.9,117328,30.1,6.1,92233,115000,108638,130336,43037,4.7,2.7,11.4,6.5,7.6,65.7,65.7,62,3.7,5.6,0,34.3,45850,3.9,4.1,19.5,23.9,8,25.7,14.9,92,53770,24508,40954,47006,69051,94326,595500
BERKELEY,N,A,05D0603350,20061227,Y,"ALTA ANATOMIC PATHOLOGY MED GRP INC",19930112,05D0718799,N,LAB,13,20070221,5,4,94705,1,36084,-122.257304,37.855928,"SUTTER EAST BAY HOSPITALS DBA ALTA BATES SUMMIT MEDICAL CENTER ALTA BATES CAMPUS",40,"2450 ASHBY AVENUE
                BERKELEY, CA 94705",", CA 94705",94705,"BERKELEY CITY",121870,30,43770,49,51,2.48,2.92,N,N,2833,2.7,46.4,16215,13.3,63095,51.6,10623,8.7,110,0.1,23488,19.2,859,0.7,525,0.4,7419,6.1,79.3,20.7,38.9,117328,30.1,6.1,58631,70405,63736,74095,23141,17.3,11.1,37.9,22.8,32.9,64.9,64.9,58.6,6.3,9.7,0,35.1,10399,14.3,10.2,32,18.6,7.5,13,4.4,75.5,37997,25933,33270,46738,57045,66467,745600
BERKELEY,N,0,0,19930520,N,"ALTA BATES MEDICAL CTR EMERGENCY DEPT",19930520,05D0869538,Y,LAB,1,19950425,0,2,94705,1,36084,-122.257304,37.855928,"SUTTER EAST BAY HOSPITALS DBA ALTA BATES SUMMIT MEDICAL CENTER ALTA BATES CAMPUS",40,"2450 ASHBY AVENUE
                BERKELEY, CA 94705",", CA 94705",94705,"BERKELEY CITY",121870,30,43770,49,51,2.48,2.92,N,N,2833,2.7,46.4,16215,13.3,63095,51.6,10623,8.7,110,0.1,23488,19.2,859,0.7,525,0.4,7419,6.1,79.3,20.7,38.9,117328,30.1,6.1,138007,159057,150267,174926,54251,2.4,1.1,15.4,3.6,3.8,69.4,69.2,66.5,2.7,3.9,0.2,30.6,39375,2.6,3.6,11.3,14.4,6.6,36.1,25.4,93.8,79718,16881,41484,52922,84458,123759,686700
"CASTRO VALLEY",N,0,0,19961029,N,"EDEN EMERGENCY MEDICAL GROUP",19961029,05D0921463,Y,LAB,8,20141028,0,9,94546,1,36084,-122.0896915,37.6983405,"EDEN MEDICAL CENTER",60,"20103 LAKE CHABOT ROAD
                CASTRO VALLEY, CA 94546-5367",94546-5367,945465367,"CASTRO VALLEY CDP",61304,40.4,21977,70.6,29.4,2.77,3.31,N,N,2878,5.8,0,12337,19.9,28123,45.3,5965,9.6,252,0.4,11831,19.1,198,0.3,211,0.3,3186,5.1,76.5,23.5,56.9,57098,32.3,14.1,88661,109251,107245,133020,62873,8.2,4.1,22.2,11.7,19.2,74.6,74.3,70.5,3.8,5.2,0.3,25.4,9592,2,2,8.4,12.8,5.4,39.7,29.7,96,69643,28897,40065,41583,79570,81899,997500
